timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925502.909497,0.541395,0.345906,-1.571136,-0.039194,0.026535,-0.007105,0.484842,-0.339049,-0.806286,-0.030266,0.004289,-0.004010
1482925502.928834,0.542659,0.347529,-1.571195,0.177473,0.061851,0.038017,0.485542,-0.340576,-0.805144,-0.019800,0.039996,-0.011286
1482925502.948122,0.543436,0.350798,-1.573673,0.186904,-0.036357,-0.042355,0.485589,-0.343647,-0.803809,-0.013508,0.023295,0.002519
1482925502.967439,0.544347,0.351864,-1.575742,0.051838,0.055379,-0.065777,0.486131,-0.344648,-0.803053,-0.066106,0.022618,0.014436
1482925502.986757,0.547388,0.351269,-1.577474,0.018650,0.153437,-0.102242,0.488678,-0.344090,-0.801746,-0.096083,0.054018,0.032149
1482925503.006044,0.552076,0.352083,-1.581075,0.212563,0.193756,-0.144489,0.492284,-0.344854,-0.799207,-0.126969,0.100386,0.074526
1482925503.025362,0.559114,0.355635,-1.587984,0.401526,0.284288,-0.205524,0.497243,-0.348186,-0.794680,-0.179687,0.135403,0.143807
1482925503.044679,0.570068,0.361978,-1.597768,0.604854,0.450169,-0.249795,0.504717,-0.354125,-0.787310,-0.227857,0.169792,0.230811
1482925503.063966,0.585587,0.368643,-1.610928,0.631024,0.636523,-0.408144,0.515558,-0.360350,-0.777398,-0.262059,0.178984,0.323454
1482925503.083284,0.606198,0.372140,-1.625403,0.484904,0.903268,-0.516338,0.530749,-0.363610,-0.765568,-0.279896,0.180921,0.391348
1482925503.102602,0.634297,0.372192,-1.639813,0.375808,1.377411,-0.576587,0.552037,-0.363658,-0.750339,-0.249951,0.191377,0.396393
1482925503.121889,0.671013,0.371691,-1.654418,0.437179,1.728266,-0.573696,0.579321,-0.363191,-0.729711,-0.137761,0.215920,0.354576
1482925503.141206,0.710588,0.371425,-1.670102,0.486358,1.746348,-0.603034,0.607801,-0.362943,-0.706293,-0.038288,0.220853,0.357083
1482925503.160524,0.750353,0.369639,-1.685355,0.377066,1.805159,-0.611369,0.635840,-0.361279,-0.682045,-0.008485,0.186170,0.359821
1482925503.179811,0.789931,0.363232,-1.697202,-0.030993,1.823459,-0.673813,0.663960,-0.355297,-0.657967,0.020588,0.081223,0.344619
1482925503.199129,0.825288,0.346430,-1.700772,-0.738873,1.754487,-0.792522,0.691093,-0.339542,-0.638045,0.055066,-0.025429,0.354259
1482925503.218446,0.858414,0.321738,-1.695738,-1.144080,1.808702,-0.744640,0.717973,-0.316216,-0.620098,0.090374,-0.034039,0.280615
1482925503.237733,0.889704,0.298310,-1.687548,-1.019308,1.721479,-0.650047,0.742574,-0.293906,-0.601833,0.118334,0.025119,0.237381
1482925503.257051,0.919952,0.277374,-1.679193,-1.035619,1.663393,-0.564976,0.765164,-0.273831,-0.582701,0.153266,0.029141,0.191326
1482925503.276369,0.949750,0.254560,-1.666667,-1.337517,1.775840,-0.591873,0.787062,-0.251820,-0.563134,0.198923,-0.010996,0.149751
1482925503.295656,0.980929,0.227288,-1.649266,-1.582135,1.843870,-0.729957,0.809642,-0.225336,-0.541944,0.300886,-0.051309,0.104688
