timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925533.662205,1.602275,0.090977,-1.958658,0.001271,0.083803,-0.039191,0.995371,-0.090852,0.031343,-0.863069,-0.424851,-0.893611
1482925533.681523,1.604200,0.090162,-1.958536,-0.012376,0.118100,-0.035786,0.995382,-0.090039,0.033262,-0.839950,-0.444934,-0.869397
1482925533.700810,1.606358,0.089689,-1.957826,-0.041916,0.102553,-0.008828,0.995350,-0.089568,0.035412,-0.803109,-0.461633,-0.837828
1482925533.720127,1.607472,0.090398,-1.957506,-0.013910,0.034422,0.055659,0.995247,-0.090275,0.036518,-0.786575,-0.433404,-0.837761
1482925533.739445,1.607683,0.092308,-1.955831,-0.146743,0.017856,0.122638,0.995065,-0.092177,0.036721,-0.794592,-0.440031,-0.846592
1482925533.758732,1.607849,0.095999,-1.951463,-0.271390,0.037594,0.233635,0.994712,-0.095851,0.036874,-0.788158,-0.450004,-0.863423
1482925533.778050,1.607862,0.104054,-1.946411,-0.257029,-0.002023,0.499305,0.993908,-0.103866,0.036856,-0.691072,-0.492137,-0.891313
1482925533.797367,1.605126,0.116409,-1.943573,-0.087708,-0.208606,0.782874,0.992646,-0.116146,0.034090,-0.558038,-0.445605,-0.940772
1482925533.816655,1.599297,0.140290,-1.944378,-0.042327,-0.223223,1.360548,0.989773,-0.139830,0.028217,-0.449184,-0.338833,-0.954544
1482925533.835972,1.597884,0.154625,-1.936995,-0.477575,-0.088386,0.700188,0.987706,-0.154010,0.026761,-0.214547,-0.336201,-0.897132
1482925533.855290,1.593711,0.169923,-1.926374,-0.652126,-0.030477,0.730836,0.985339,-0.169107,0.022582,-0.094063,-0.443932,-0.796181
1482925533.874577,1.592585,0.182980,-1.906473,-1.394916,0.160809,0.567214,0.983072,-0.181961,0.021423,-0.011045,-0.608992,-0.697354
1482925533.893895,1.583599,0.191164,-1.867017,-2.345580,-0.270493,0.245748,0.981703,-0.190002,0.012569,0.057288,-0.566119,-0.620588
1482925533.913212,1.565105,0.196274,-1.819615,-2.360972,-0.755917,0.406159,0.980784,-0.195016,-0.005582,0.024413,-0.292747,-0.540052
1482925533.932499,1.531326,0.206012,-1.769773,-2.757447,-1.332999,0.561504,0.978092,-0.204558,-0.038626,-0.043420,-0.221087,-0.790346
1482925533.951817,1.501326,0.212176,-1.701164,-3.817726,-0.469904,0.603001,0.975217,-0.210587,-0.067858,-0.251094,-0.212770,-1.047143
1482925533.971124,1.480538,0.224098,-1.620144,-3.966100,-0.021622,1.128673,0.971026,-0.222227,-0.087882,-0.424339,-0.070199,-1.250088
1482925533.990411,1.470992,0.246285,-1.548804,-3.157939,0.634918,1.752526,0.964999,-0.243803,-0.096632,-0.624080,0.198822,-1.403781
1482925534.009728,1.472303,0.281422,-1.488500,-2.746146,0.912288,2.224529,0.956005,-0.277722,-0.094466,-0.738254,0.259490,-1.476786
1482925534.029046,1.467626,0.318911,-1.429541,-2.424576,0.478306,2.219276,0.944528,-0.313532,-0.097794,-0.800778,0.365761,-1.468990
1482925534.048333,1.464435,0.367208,-1.403641,0.006115,0.097866,2.996129,0.928059,-0.359011,-0.099084,-0.928366,1.004326,-1.561960
1482925534.067651,1.466473,0.431948,-1.423222,1.657889,-0.595029,3.194879,0.903214,-0.418641,-0.094570,-1.068893,1.091004,-1.663792
1482925534.086968,1.455343,0.489030,-1.436037,0.326610,-0.878108,2.672666,0.876912,-0.469769,-0.101695,-1.368526,0.804337,-1.407169
1482925534.106255,1.432856,0.536471,-1.419625,-0.751958,-0.754991,2.504054,0.851353,-0.511106,-0.118186,-1.637949,0.961092,-1.134737
1482925534.125573,1.400378,0.576309,-1.395037,-0.674696,-1.110624,1.925810,0.826333,-0.544933,-0.142201,-1.733195,1.104358,-1.037973
1482925534.144891,1.391119,0.604697,-1.394303,1.368551,0.236201,1.239560,0.809431,-0.568513,-0.147022,-2.045777,1.116647,-1.129181
1482925534.164178,1.456334,0.639949,-1.488234,5.729506,0.439873,0.983352,0.796877,-0.597154,-0.091613,-2.018770,1.410571,-0.913039
1482925534.183495,1.560823,0.652145,-1.655396,7.303051,0.112153,-0.183042,0.794744,-0.606893,-0.007926,-2.109047,1.165824,-0.680367
1482925534.202813,1.659548,0.640227,-1.824814,6.608104,-0.408302,-0.368660,0.798804,-0.597377,0.071082,-2.278185,0.746946,-0.392600
1482925534.222100,1.729456,0.612144,-1.957767,5.295381,-0.328440,-0.909181,0.808139,-0.574623,0.129306,-2.391305,0.453874,-0.273698
1482925534.241418,1.778883,0.574593,-2.061140,4.385059,-0.551554,-1.316589,0.821306,-0.543493,0.173413,-2.207759,0.395000,-0.252523
1482925534.260735,1.803979,0.526653,-2.140820,3.742541,-1.083352,-1.826166,0.841098,-0.502642,0.199763,-2.021798,0.322631,-0.257036
1482925534.280022,1.803934,0.476450,-2.196372,2.609033,-1.506275,-1.947177,0.864588,-0.458627,0.205301,-1.839975,0.261444,-0.222418
1482925534.299340,1.791288,0.431385,-2.227615,1.497189,-1.165261,-2.011779,0.886396,-0.418129,0.198673,-1.696354,0.253657,-0.276983
1482925534.318658,1.780694,0.389607,-2.233978,0.375134,-0.407896,-2.038671,0.904755,-0.379825,0.192745,-1.562396,0.351312,-0.289894
1482925534.337945,1.776792,0.351615,-2.220966,-0.599559,0.318829,-2.078110,0.918969,-0.344415,0.192028,-1.402889,0.385645,-0.237374
1482925534.357262,1.784730,0.314877,-2.189669,-1.232062,1.373681,-2.287472,0.929159,-0.309700,0.201867,-1.279601,0.284391,-0.389942
1482925534.376580,1.820681,0.272024,-2.155114,-1.015939,3.028963,-2.793684,0.933312,-0.268682,0.238199,-1.104768,0.171363,-0.617466
